Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
32,20,RL,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,1228,GasA,Gd,Y,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,NA,1,271,Y,0,65,0,0,0,0,NA,MnPrv,NA,0,6,2008,WD,Normal,149350
33,20,RL,11049,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1234,GasA,Ex,Y,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,NA,2,484,Y,0,30,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,179900
34,20,RL,10552,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,TA,TA,CBlock,1398,GasA,Gd,Y,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,2,447,Y,0,38,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,165500
35,120,RL,7313,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,1561,GasA,Ex,Y,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,2,556,Y,203,47,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,277500
36,60,RL,13418,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1117,GasA,Ex,Y,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,3,691,Y,113,32,0,0,0,0,NA,NA,NA,0,9,2006,WD,Normal,309000
37,20,RL,10859,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,1097,GasA,Ex,Y,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,NA,2,672,Y,392,64,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,145000
38,20,RL,8532,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1297,GasA,Gd,Y,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,2,498,Y,0,0,0,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,153000
39,20,RL,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,1057,GasA,TA,Y,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,NA,1,246,Y,0,52,0,0,0,0,NA,NA,NA,0,1,2010,WD,Abnorml,109000
40,90,RL,6040,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,TA,PConc,0,GasA,TA,N,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,NA,0,0,N,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,AdjLand,82000
41,20,RL,8658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1088,GasA,Ex,Y,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,2,440,Y,0,138,0,0,0,0,NA,GdWo,NA,0,12,2006,WD,Abnorml,160000
42,20,RL,16905,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,1350,GasA,Gd,Y,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,1,308,P,0,104,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,170000
43,85,RL,9180,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,840,GasA,Gd,Y,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,NA,2,504,Y,240,0,0,0,0,0,NA,MnPrv,NA,0,12,2007,WD,Normal,144000
44,20,RL,9200,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,TA,TA,CBlock,938,GasA,TA,Y,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,NA,1,308,Y,145,0,0,0,0,0,NA,MnPrv,NA,0,7,2008,WD,Normal,130250
45,20,RL,7945,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,1150,GasA,Ex,Y,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,NA,1,300,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,141000
46,120,RL,7658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,1752,GasA,Ex,Y,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,2,576,Y,196,82,0,0,0,0,NA,NA,NA,0,2,2010,WD,Normal,319900
47,50,RL,12822,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1434,GasA,Ex,Y,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,2,670,Y,168,43,0,0,198,0,NA,NA,NA,0,8,2009,WD,Abnorml,239686
48,20,FV,11096,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1656,GasA,Ex,Y,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,NA,3,826,Y,0,146,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,249700
49,190,RM,4456,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,736,GasA,Gd,Y,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,NA,0,0,N,0,0,102,0,0,0,NA,NA,NA,0,6,2009,New,Partial,113000
50,20,RL,7742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,955,GasA,Ex,Y,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,NA,1,386,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,1,2007,WD,Normal,127000
51,60,RL,13869,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,794,GasA,Gd,Y,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,NA,2,388,Y,0,75,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,177000
52,50,RM,6240,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,816,GasA,TA,Y,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,2,528,Y,112,0,0,0,0,0,NA,MnPrv,Shed,400,9,2006,WD,Normal,114500
53,90,RM,8472,Grvl,NA,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,TA,CBlock,816,GasA,TA,N,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,NA,2,516,Y,106,0,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,110000
54,20,RL,50271,Pave,NA,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,Gd,TA,CBlock,1842,GasA,Gd,Y,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,3,894,Y,857,72,0,0,0,0,NA,NA,NA,0,11,2006,WD,Normal,385000
55,80,RL,7134,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,384,GasA,TA,Y,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,TA,2,572,Y,0,50,0,0,0,0,NA,MnPrv,NA,0,2,2007,WD,Normal,130000
56,20,RL,10175,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,TA,TA,CBlock,1425,GasA,Gd,Y,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Gd,2,576,Y,0,0,0,407,0,0,NA,NA,NA,0,7,2008,WD,Normal,180500
57,160,FV,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,970,GasA,Ex,Y,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,NA,2,480,Y,115,0,0,0,0,0,NA,NA,NA,0,8,2009,WD,Abnorml,172500
58,60,RL,11645,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,860,GasA,Ex,Y,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,NA,2,565,Y,0,70,0,0,0,0,NA,NA,NA,0,8,2006,WD,Normal,196500
59,60,RL,13682,Pave,NA,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,1410,GasA,Ex,Y,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,3,641,Y,192,0,37,0,0,0,NA,NA,NA,0,10,2006,New,Partial,438780
60,20,RL,7200,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,780,GasA,Ex,Y,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,NA,1,352,Y,196,0,0,0,0,0,NA,MnPrv,NA,0,1,2008,WD,Normal,124900
61,20,RL,13072,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,1158,GasA,Ex,Y,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,NA,2,576,Y,0,50,0,0,0,0,NA,NA,NA,0,5,2006,New,Partial,158000
62,75,RM,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,530,GasA,TA,N,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,NA,1,288,N,0,0,144,0,0,0,NA,NA,NA,0,3,2007,WD,Normal,101000
63,120,RL,6442,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1370,GasA,Ex,Y,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,Gd,2,484,Y,120,49,0,0,0,0,NA,NA,NA,0,10,2007,WD,Normal,202500
64,70,RM,10300,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,576,GasA,Gd,Y,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,NA,2,480,Y,12,11,64,0,0,0,NA,GdPrv,NA,0,4,2010,WD,Normal,140000
65,60,RL,9375,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,1057,GasA,Ex,Y,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,NA,2,645,Y,576,36,0,0,0,0,NA,GdPrv,NA,0,2,2009,WD,Normal,219500
